id,profil_id,mahasiswa_id,nilai
a6df7676-b259-42ad-8f02-d63f4279d653,14c87ad1-3959-4bbf-8ba8-7456b4ed55bf,user-65,61
81e7e89c-67ef-4475-8c1d-0d793d8e52ac,1c4e1703-0305-469e-a47c-914da3b813dc,user-91,62
8ef4ba22-8df9-4e7d-95e9-e8e333befc4f,9f0a4b19-dda2-4b7d-a51d-5eae7b107771,user-87,70
18211a1d-66db-4374-860b-932961c8380c,0ba2c4a1-7da2-41cd-ae75-45e9200c720e,user-81,98
3a0e7497-f975-4df8-80d8-0a20474bc36e,1c98933e-f24b-4201-af3b-eb6fc74865b1,user-44,70
32593d49-31e7-40b7-83d2-92f893ca1126,374c6e13-f41e-43ff-a6dd-e4f30bbc72b9,user-54,64
e0d5e7a5-0f2c-4f13-b9ba-2a3c8b2b8cd5,ed682630-9d4f-481a-9310-273f971bd519,user-86,76
6c22635e-f5e7-4cac-9b95-431ae60b468e,468f5170-8fd4-4fb5-ac67-6db8c1299b43,user-87,69
1336e347-e33e-4c19-83c9-44804f535df7,2040327d-0a93-45f4-8a8c-68963dfe1219,user-58,100
0616d083-895f-413b-8579-2b271e7af34b,ab50d53b-a2d7-4bc3-ab1a-55af4c0c9cbf,user-43,76
f7fcac3f-754d-43c3-8a0c-b362a9824b1a,2f84201c-6e85-4b7b-889f-70dc50c5e697,user-60,95
2cfb777f-b0a9-4c6e-97da-b26e69ff4972,e64def96-09af-4e52-937b-8c4773584dc5,user-75,97
37139d7e-6ee1-4f48-bc06-85e06e676e3f,e4844b51-9d89-41aa-a5a5-4f6b03430a28,user-59,63
4f231c90-b18d-4983-96e8-b16783cdc1f3,241f540f-a940-4793-bff9-bc9f00f53a2e,user-69,94
b38711ee-ede4-4d2b-9def-982504cfc574,218dd895-3a4d-4799-9dda-2f84ca795a24,user-42,88
58878e15-99c9-4d4a-baf5-1e471f9c21f5,0ccffc38-90ea-4cf0-aaa4-7f122345bbf3,user-92,69
998bf222-7f13-4cc4-870b-80e0af5b1d5b,caa2096d-3924-4b45-95be-f94cace89cf5,user-88,91
02cac079-6768-4ddd-a241-de4c6ab63056,ff8d9fb0-442d-49c6-9693-32c69e60915b,user-61,84
